2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
45,26,Texas A&M University,United States of America,80.9,38=,69.4,51+,83.8,51+,85.2,36=,,,78.5
=46,37,King Fahd University of Petroleum & Minerals,Saudi Arabia,69.8,51+,82.0,30=,91.1,13=,81.0,51+,,,78.3
=46,51-100,KU Leuven,Belgium,71.8,51+,80.9,34,87.1,51+,81.3,51+,,,78.3
=48,46,The University of Auckland,New Zealand,75.3,51+,78.2,49=,84.3,51+,80.0,51+,,,78.2
=48,51-100,Yonsei University,Republic of Korea,79.3,44,74.1,51+,86.6,51+,75.2,51+,,,78.2
50,29,Pontificia Universidad Católica de Chile (UC),Chile,76.0,51+,83.5,24,81.3,51+,69.7,51+,,,78.1
51-100,101-150,Alma Mater Studiorum - University of Bologna,Italy,69.4,51+,74.4,51+,79.9,51+,77.9,51+,,,
51-100,51-100,Carnegie Mellon University,United States of America,70.1,51+,76.6,51+,83.5,51+,67.0,51+,,,
51-100,101-150,Chalmers University of Technology,Sweden,70.4,51+,67.5,51+,87.3,51+,77.9,51+,,,
51-100,51-100,City University of Hong Kong,"Hong Kong SAR, China",72.4,51+,69.3,51+,89.7,30=,85.2,36=,,,
51-100,51-100,Cornell University,United States of America,79.9,43,74.8,51+,83.0,51+,68.7,51+,,,
51-100,51-100,Ecole des Ponts ParisTech,France,76.3,51+,76.8,51+,84.6,51+,70.2,51+,,,
51-100,51-100,Eindhoven University of Technology,Netherlands,70.2,51+,69.7,51+,91.5,9,78.6,51+,,,
51-100,101-150,Hanyang University,Republic of Korea,72.7,51+,73.9,51+,86.8,51+,81.9,51+,,,
51-100,101-150,Huazhong University of Science and Technology,China (Mainland),72.6,51+,69.5,51+,89.5,33=,90.1,15=,,,
51-100,42,Indian Institute of Technology Bombay (IITB),India,73.5,51+,77.4,51+,79.2,51+,70.7,51+,,,
51-100,39,Indian Institute of Technology Delhi (IITD),India,72.4,51+,75.4,51+,81.9,51+,73.5,51+,,,
51-100,51-100,Indian Institute of Technology Madras (IITM),India,73.5,51+,77.2,51+,76.8,51+,71.7,51+,,,
51-100,101-150,"KIT, Karlsruhe Institute of Technology",Germany,72.5,51+,71.2,51+,83.3,51+,72.6,51+,,,
